customer_id;name;gender;DOB;Age;job_title;job_industry_category;wealth_segment
1;Laraine Medendorp;Female;12/10/1953;70;Executive Secretary;Health;Mass Customer
2;Eli Bockman;Male;16/12/1980;42;Administrative Officer;Financial Services;Mass Customer
3;Arlin Dearle;Male;20/01/1954;69;Recruiting Manager;Property;Mass Customer
4;Talbot ;Male;03/10/1961;62;NaN;IT;Mass Customer
5;Sheila-kathryn Calton;Female;13/05/1977;46;Senior Editor;n/a;Affluent Customer
6;Curr Duckhouse;Male;16/09/1966;57;NaN;Retail;High Net Worth
7;Fina Merali;Female;23/02/1976;47;NaN;Financial Services;Affluent Customer
8;Rod Inder;Male;30/03/1962;61;Media Manager I;n/a;Mass Customer
9;Mala Lind;Female;10/03/1973;50;Business Systems Development Analyst;Argiculture;Affluent Customer
10;Fiorenze Birdall;Female;11/10/1988;35;Senior Quality Engineer;Financial Services;Mass Customer
11;Uriah Bisatt;Male;30/04/1954;69;NaN;Property;Mass Customer
12;Sawyere Flattman;Male;21/07/1994;29;Nuclear Power Engineer;Manufacturing;Mass Customer
13;Gabriele Norcross;Male;15/02/1955;68;Developer I;Financial Services;High Net Worth
14;Rayshell Kitteman;Female;25/03/1983;40;Account Executive;Financial Services;Affluent Customer
15;Erroll Radage;Male;13/07/2000;23;Junior Executive;Manufacturing;Mass Customer
16;Harlin Parr;Male;27/02/1977;46;Media Manager IV;n/a;Mass Customer
17;Heath Faraday;Male;19/03/1962;61;Sales Associate;n/a;Affluent Customer
18;Marjie Neasham;Female;06/07/1967;56;Professor;n/a;Affluent Customer
19;Sorcha Keyson;Female;15/04/2001;22;Geological Engineer;Manufacturing;High Net Worth
20;Basile Firth;Male;13/08/1980;43;Project Manager;Manufacturing;Mass Customer
21;Mile Cammocke;Male;20/09/1980;43;Safety Technician I;Manufacturing;Affluent Customer
22;Deeanne Durtnell;Female;10/12/1962;60;NaN;IT;Mass Customer
23;Olav Polak;Male;10/02/1995;28;NaN;n/a;High Net Worth
24;Kim Skpsey;Female;03/12/1977;45;Research Assistant I;Argiculture;Mass Customer
25;Geoff Assaf;Male;02/12/1976;46;Accounting Assistant III;Financial Services;Mass Customer
26;Trixi Ginnelly;Female;10/06/1978;45;Editor;Financial Services;Mass Customer
27;Garvin Klees;Male;25/09/1978;45;Research Nurse;Health;Mass Customer
28;Fee Zellmer;Male;30/09/1973;50;Senior Quality Engineer;Health;Affluent Customer
29;Mona Sancraft;Female;22/06/1968;55;Safety Technician III;Manufacturing;Mass Customer
30;Darrick Helleckas;Male;18/10/1961;62;NaN;IT;Affluent Customer
31;Star Praton;Female;24/11/1962;60;Staff Accountant III;Telecommunications;High Net Worth
32;Marion Vanichkin;Female;20/04/1995;28;Legal Assistant;Manufacturing;Affluent Customer
33;Ernst Hacon;Male;25/06/1957;66;Product Engineer;n/a;Affluent Customer
34;Jephthah Bachmann;Female;1843-12-21;0;Legal Assistant;IT;Affluent Customer
35;Margaretha Strettle;Female;28/09/1963;60;Information Systems Manager;Health;High Net Worth
36;Lurette Stonnell;Female;09/11/1977;45;VP Quality Control;n/a;Affluent Customer
37;Laurie Dwerryhouse;Female;22/12/1985;37;Social Worker;Health;High Net Worth
38;Cordi Merman;Female;29/10/1955;68;Senior Cost Accountant;Financial Services;Affluent Customer
39;Hunfredo Smalley;Male;16/04/1979;44;Assistant Media Planner;Entertainment;Mass Customer
40;Tomasine Jerche;Female;27/10/1981;41;Payment Adjustment Coordinator;Manufacturing;Affluent Customer
41;Basilius Coupe;Male;14/04/1976;47;Food Chemist;Health;Mass Customer
42;Chiquita Durnall;Female;28/03/1977;46;Accountant III;Manufacturing;Mass Customer
43;Indira Belt;Female;01/03/1983;40;Director of Sales;Retail;Mass Customer
44;Neron Verick;Male;18/10/1981;42;Assistant Media Planner;Entertainment;Affluent Customer
45;Trace Woodhead;Male;23/09/1975;48;Senior Financial Analyst;Financial Services;Mass Customer
46;Kaila Allin;Female;26/02/1972;51;NaN;n/a;Affluent Customer
47;Matthew Jeaycock;Male;22/10/1992;30;Registered Nurse;Health;Affluent Customer
48;Rebbecca Casone;Female;15/08/1975;48;Biostatistician II;n/a;Mass Customer
49;Nolly Ownsworth;Male;26/01/1994;29;VP Quality Control;n/a;Affluent Customer
50;Whitby Schapero;Male;01/10/1980;43;Account Executive;Manufacturing;Mass Customer
51;Fidelio Dilke;Male;05/12/1959;63;Computer Systems Analyst II;Retail;Mass Customer
52;Curran Bentson;Male;22/06/1988;35;NaN;Financial Services;Mass Customer
53;Agnella Gocke;Female;18/04/1954;69;Software Test Engineer II;Financial Services;Mass Customer
54;Loralyn Wonfor;Femal;24/07/1966;57;Sales Associate;Property;Mass Customer
55;Linc Jillions;Male;24/09/1956;67;Paralegal;Financial Services;Affluent Customer
56;Reese Ensor;Male;04/07/1996;27;VP Sales;Property;Mass Customer
57;Abba Masedon;Female;13/06/1988;35;Chief Design Engineer;n/a;Mass Customer
58;Dalenna Pinnock;Female;04/07/1967;56;Office Assistant III;Financial Services;Affluent Customer
59;Niki Heathcote;Male;08/02/2000;23;Physical Therapy Assistant;n/a;High Net Worth
60;Nadiya Champerlen;Female;04/02/1970;53;NaN;Manufacturing;Mass Customer
61;Kacey Rowbottom;Female;29/11/1959;63;Help Desk Operator;Property;High Net Worth
62;Sorcha Roggers;Female;06/07/1979;44;NaN;IT;Mass Customer
63;Ebony Zini;Female;03/07/1965;58;Senior Quality Engineer;Retail;Mass Customer
64;Gerek Yve;Male;25/03/1978;45;Legal Assistant;IT;High Net Worth
65;Yale Tanser;Male;01/04/1976;47;Information Systems Manager;Financial Services;Affluent Customer
66;Anselm Gawne;Male;11/03/2002;21;Account Executive;Argiculture;High Net Worth
67;Vernon ;Male;14/06/1960;63;Web Developer II;Retail;Mass Customer
68;Dahlia Eddoes;Female;21/04/1974;49;Information Systems Manager;n/a;Affluent Customer
69;Heidi Milner;Female;22/06/1969;54;Web Developer II;n/a;Mass Customer
70;Foster Vannoort;Male;27/02/1993;30;Paralegal;Financial Services;Affluent Customer
71;Hoyt Glavias;Male;27/01/1985;38;Research Associate;Argiculture;Affluent Customer
72;Sammy Cheese;Male;13/02/1972;51;Administrative Officer;Manufacturing;Affluent Customer
73;Minette Worters;Female;27/05/1960;63;Teacher;n/a;Affluent Customer
74;Pansy Kiddie;Female;19/06/1969;54;NaN;n/a;Mass Customer
75;Dollie Sealy;Female;15/07/1978;45;VP Product Management;Property;Mass Customer
76;Rea Hasser;Female;23/01/1978;45;Statistician II;Retail;High Net Worth
77;Shermie Andrin;Male;12/09/1989;34;Automation Specialist IV;Financial Services;Mass Customer
78;Arch Van der Kruis;Male;12/03/1985;38;Business Systems Development Analyst;Argiculture;Affluent Customer
79;Tybi Silliman;Female;02/10/1968;55;Account Executive;Manufacturing;Mass Customer
80;Pablo Small;Male;24/04/1978;45;Data Coordiator;Entertainment;Mass Customer
81;Bee Blazewicz;Female;04/09/1986;37;NaN;Health;High Net Worth
82;Gleda Cokely;Female;28/06/1965;58;Software Test Engineer III;Property;High Net Worth
83;Kerr Simmell;Male;26/02/1967;56;Internal Auditor;IT;Mass Customer
84;Rich Mathiasen;Male;07/02/1958;65;Accountant III;n/a;Mass Customer
85;Kane Tixall;Male;21/05/1958;65;Analyst Programmer;n/a;Mass Customer
86;Job Sleney;Male;04/03/1989;34;Occupational Therapist;Health;High Net Worth
87;Fields Langdon;Male;23/04/1974;49;Editor;Financial Services;Mass Customer
88;Malynda Tumber;Female;03/02/1966;57;Help Desk Operator;Property;High Net Worth
89;Benedicto Hoxey;Male;22/01/1967;56;Speech Pathologist;Health;Mass Customer
90;Cary Garron;Male;12/11/1984;38;Quality Control Specialist;Manufacturing;Mass Customer
91;Dylan Meaker;Male;24/02/1955;68;Senior Financial Analyst;Financial Services;Affluent Customer
92;Jodee Judkins;Female;11/09/1980;43;Recruiting Manager;Health;Mass Customer
93;Gordon Gowar;Male;16/07/1976;47;Project Manager;Retail;Mass Customer
